player_id,player_name,position,age,club,season,goals_p90,xg_p90,assists_p90,xa_p90,shots_p90,key_passes_p90,pass_accuracy_pct,dribbles_p90,tackles_interceptions_p90,clearances_p90,progressive_passes_p90
28,Harry Maguire,Defender,35,Man United,2024-2025,0.2,0.11,0.04,0.0,0.71,0.84,91.2,0.53,5.46,2.64,4.94
29,Harvey Barnes,Winger,31,Newcastle,2025-2026,0.67,0.43,0.14,0.34,1.61,2.07,81.6,3.68,1.81,0.69,6.13
30,Jack Grealish,Winger,32,Man City,2024-2025,0.48,0.6,0.44,,3.34,1.12,77.7,4.2,0.91,0.48,8.76
31,Lucas Moura,Winger,33,Tottenham,2022-2023,0.38,0.42,0.18,0.31,2.85,2.06,81.9,3.81,1.66,0.69,5.88
32,Callum Wilson,Forward,32,Newcastle,2021-2022,0.43,0.61,0.24,0.16,3.31,1.84,75.0,2.18,0.82,0.61,4.82
33,Yoane Wissa,Forward,31,Brentford,2024-2025,0.7,0.48,0.32,0.17,5.09,1.49,75.3,,1.09,1.02,
34,Emile Smith Rowe,Winger,27,Arsenal,2023-2024,0.3,0.29,0.16,0.19,1.94,2.52,79.4,4.05,0.96,1.0,7.88
35,Joelinton,Midfielder,28,Newcastle,2021-2022,0.12,0.1,0.47,0.25,1.62,3.12,87.0,1.44,2.64,1.16,7.43
36,Neal Maupay,Forward,28,Everton,2021-2022,0.53,0.13,0.18,0.16,5.42,1.1,79.5,1.78,0.43,1.16,4.4
37,Yoane Wissa,Forward,31,Brentford,2025-2026,,0.69,0.09,0.19,4.43,1.26,78.3,0.85,0.94,0.7,3.21
38,Crysencio Summerville,Winger,25,West Ham,2023-2024,0.24,0.37,0.37,0.24,3.31,1.94,92.0,1.63,1.27,0.81,8.81
39,Luis Díaz,Winger,31,Liverpool,2025-2026,0.32,0.58,0.57,0.29,2.08,1.3,80.4,4.13,1.29,0.67,2.49
40,Reiss Nelson,Winger,30,Arsenal,2025-2026,0.43,0.6,0.24,0.14,2.76,1.47,80.3,2.68,1.16,0.61,5.38
41,Simon Adingra,Winger,21,Brighton,2021-2022,0.42,0.25,0.24,0.33,2.71,1.78,85.2,2.23,1.51,0.78,4.54
42,John McGinn,Midfielder,30,Aston Villa,2022-2023,0.22,0.15,0.36,0.17,0.95,1.85,84.0,1.39,3.45,2.04,4.81
43,Declan Rice,Midfielder,27,West Ham,2022-2023,0.28,0.21,0.02,0.22,1.77,2.06,92.0,2.07,2.98,1.59,5.55
44,Luis Sinisterra,Winger,27,Bournemouth,2023-2024,0.41,0.46,0.14,0.29,1.52,3.06,82.1,3.93,2.41,0.48,7.54
45,Trent Alexander-Arnold,Defender,29,Liverpool,2024-2025,0.12,0.11,0.01,0.16,0.65,0.39,81.6,0.32,3.2,4.67,3.6
46,Ivan Toney,Forward,31,Brentford,2024-2025,0.82,0.59,0.39,0.28,3.13,0.66,78.6,1.2,1.17,0.93,3.47
47,Callum Wilson,Forward,34,Newcastle,2023-2024,0.05,0.74,0.29,0.06,3.79,0.9,72.1,2.63,1.64,0.05,4.53
48,Rodrigo Bentancur,Midfielder,30,Tottenham,2024-2025,0.26,0.15,0.36,0.27,1.42,2.15,93.6,1.86,3.1,0.86,9.29
49,Gabriel Martinelli,Forward,26,Arsenal,2024-2025,0.78,0.69,0.23,0.12,,0.99,80.4,1.71,0.92,0.6,4.78
50,Pascal Groß,Midfielder,36,Brighton,2024-2025,0.3,0.2,0.33,0.36,1.64,3.47,91.9,1.99,4.62,0.56,4.98
51,Bryan Mbeumo,Forward,26,Brentford,2022-2023,0.9,0.41,0.05,0.12,4.51,1.47,85.6,1.39,0.95,0.94,4.55
52,Anthony Martial,Forward,29,Man United,2021-2022,0.44,0.64,0.21,0.12,3.66,1.25,82.8,1.31,0.77,0.54,1.74
53,Dominic Calvert-Lewin,Forward,31,Everton,2025-2026,0.78,0.3,0.38,0.05,2.94,1.3,83.8,1.75,0.7,0.0,3.38
54,Micky van de Ven,Defender,22,Tottenham,2022-2023,0.16,0.08,0.0,0.01,0.3,0.05,89.1,1.33,3.92,5.43,2.63
55,Youri Tielemans,Midfielder,29,Aston Villa,2023-2024,0.07,0.16,0.15,0.03,0.8,1.59,85.3,1.09,2.63,0.97,
56,Dominic Calvert-Lewin,Forward,28,Everton,2023-2024,0.82,0.46,0.24,0.26,3.74,0.47,74.9,2.56,0.79,0.74,4.83
57,Justin Kluivert,Midfielder,27,Bournemouth,2023-2024,0.07,0.12,0.18,0.26,1.67,2.82,83.0,1.63,3.06,1.19,9.6
58,Erling Haaland,Forward,26,Man City,2023-2024,0.66,0.71,0.36,0.1,2.92,1.73,80.7,1.29,0.72,0.41,3.96
59,Illia Zabarnyi,Defender,24,Bournemouth,2022-2023,0.16,0.08,0.05,0.14,0.53,1.55,85.4,0.88,4.18,3.56,2.88
60,Virgil van Dijk,Defender,34,Liverpool,2022-2023,0.1,0.08,0.02,0.02,0.42,1.0,83.6,0.37,6.21,3.99,5.73
61,Gabriel Jesus,Forward,30,Arsenal,2024-2025,0.74,0.59,0.14,0.3,3.96,1.79,78.0,2.3,0.63,1.18,1.29
62,Bernardo Silva,Winger,34,Man City,2025-2026,0.39,0.35,0.08,0.22,2.5,2.01,79.7,2.42,1.1,0.76,6.21
63,Connor Roberts,Defender,33,Burnley,2025-2026,0.16,0.17,0.03,0.03,1.11,0.93,86.5,0.4,4.28,4.23,4.47
64,Harry Kane,Forward,32,Tottenham,2022-2023,0.44,0.25,0.23,0.18,2.93,1.85,71.5,3.32,1.03,0.71,5.32
65,Dominic Solanke,Forward,28,Bournemouth,2022-2023,0.15,0.7,0.0,0.14,3.51,1.44,85.2,1.96,0.27,0.26,1.56
66,Nicolas Jackson,Forward,25,Chelsea,2023-2024,0.55,0.46,0.28,0.11,3.05,1.23,82.9,0.44,1.15,1.06,2.85
67,Dwight McNeil,Winger,25,Everton,2021-2022,0.28,0.31,0.22,0.39,1.77,1.89,78.0,4.5,1.3,0.91,2.77
68,Folarin Balogun,Forward,26,Arsenal,2025-2026,0.57,0.62,0.0,0.01,2.47,0.52,83.9,1.44,0.87,0.22,5.66
69,Bernardo Silva,Winger,32,Man City,2023-2024,0.47,0.35,0.24,0.27,2.63,2.07,75.1,1.83,0.98,0.79,3.03
70,Joe Gomez,Defender,27,Liverpool,2021-2022,0.05,0.04,0.0,0.11,,0.64,96.0,0.7,3.45,3.99,6.11
71,Yves Bissouma,Midfielder,31,Tottenham,2024-2025,0.3,0.11,0.25,0.19,1.24,1.59,94.1,2.3,2.56,0.81,7.5
72,Jack Grealish,Winger,30,Man City,2022-2023,0.3,0.26,0.41,0.23,,1.2,72.9,4.72,1.33,1.05,3.62
73,William Saliba,Defender,26,Arsenal,2025-2026,0.21,0.09,0.04,0.04,1.0,0.88,76.9,0.0,4.16,4.86,5.61
74,Dominik Szoboszlai,Midfielder,24,Liverpool,2021-2022,0.11,0.25,0.17,0.29,1.55,3.31,92.2,1.62,2.2,1.43,6.28
75,Bruno Fernandes,Midfielder,29,Man United,2021-2022,0.21,0.13,0.18,0.1,1.84,2.86,85.6,2.71,1.94,0.44,6.25
76,Elliot Anderson,Midfielder,23,Nottingham Forest,2022-2023,0.2,0.25,0.24,0.15,2.53,2.52,83.4,1.33,2.06,1.09,7.43
77,Jérémy Doku,Winger,23,Man City,2023-2024,0.42,0.31,0.4,0.52,2.6,1.72,83.7,2.14,1.02,0.42,3.71
78,John McGinn,Midfielder,33,Aston Villa,2024-2025,0.34,0.29,0.1,0.38,1.13,1.83,86.3,0.33,3.59,1.99,9.56
79,Ollie Watkins,Forward,32,Aston Villa,2024-2025,0.6,0.67,0.15,0.18,2.26,1.35,77.8,2.06,0.66,0.42,3.27
80,Demarai Gray,Winger,32,Everton,2024-2025,0.38,0.15,0.38,0.53,1.07,2.03,79.9,3.12,0.93,0.89,5.97
81,Eberechi Eze,Winger,28,Crystal Palace,2023-2024,0.63,0.24,0.42,0.21,2.62,1.81,83.7,4.11,0.84,0.81,4.5
82,Adam Wharton,Midfielder,20,Crystal Palace,2021-2022,0.24,0.15,0.2,0.29,0.2,3.2,79.0,1.38,1.9,0.55,9.59
83,Emile Smith Rowe,Winger,24,Arsenal,2021-2022,0.57,0.36,0.21,0.32,3.08,2.37,72.9,2.55,1.08,0.58,5.93
84,Eberechi Eze,Midfielder,26,Crystal Palace,2021-2022,0.03,0.01,0.34,0.1,1.29,1.58,78.8,1.92,3.41,0.91,2.84
85,James Maddison,Midfielder,31,Tottenham,2024-2025,0.22,0.21,0.15,0.11,1.36,2.09,89.5,2.23,2.16,1.22,5.55
86,Enzo Fernández,Midfielder,27,Chelsea,2025-2026,0.23,0.19,0.01,0.18,1.88,2.29,84.5,1.68,2.99,1.78,7.34
87,Lewis Hall,Defender,24,Newcastle,2025-2026,0.18,0.12,0.07,0.11,0.32,1.01,86.6,0.54,5.15,5.03,4.06
88,Mario Lemina,Midfielder,32,Wolves,2022-2023,0.2,0.32,0.41,0.12,1.34,2.81,90.6,0.97,1.46,0.71,5.99
89,Dele Alli,Midfielder,31,Everton,2023-2024,0.21,0.23,,0.29,1.65,2.07,93.3,0.29,2.89,0.62,7.22
90,John Stones,Defender,30,Man City,2021-2022,0.14,0.07,0.06,0.1,0.5,1.11,85.8,0.56,4.65,2.61,2.92
91,Darwin Núñez,Forward,29,Liverpool,2025-2026,1.26,0.69,0.13,0.24,2.6,1.63,78.9,2.99,0.88,0.9,4.12
92,Kieran Trippier,Defender,38,Newcastle,2025-2026,0.16,0.15,0.16,0.05,0.59,0.61,82.4,0.0,3.26,6.09,4.93
93,Andrew Robertson,Defender,32,Liverpool,2022-2023,0.1,0.1,0.05,0.02,0.3,0.3,88.2,1.04,3.74,4.1,3.28
94,Aleksandar Mitrović,Forward,33,Fulham,2023-2024,0.7,0.6,0.26,0.15,2.46,0.91,,1.55,1.14,1.13,2.52
95,João Pedro,Forward,26,Brighton,2024-2025,0.9,0.62,0.34,0.18,3.51,1.01,87.8,3.03,1.71,1.04,2.95
96,Luis Sinisterra,Winger,29,Bournemouth,2024-2025,0.28,0.31,0.45,0.28,3.44,1.87,81.5,,1.09,0.19,5.73
97,Curtis Jones,Midfielder,27,Liverpool,2025-2026,0.39,0.18,0.28,0.25,2.14,2.88,92.4,1.44,3.61,1.54,9.74
98,Andrew Robertson,Defender,34,Liverpool,2025-2026,0.29,0.17,0.14,0.02,0.49,0.78,83.3,0.71,3.03,4.39,5.51
99,Folarin Balogun,Forward,23,Arsenal,2021-2022,0.89,0.05,0.26,0.17,,1.25,68.1,1.65,1.04,1.29,2.88
100,Ethan Ampadu,Midfielder,28,Leeds United,2025-2026,0.27,0.17,0.13,0.2,1.42,0.85,82.0,2.17,3.78,0.46,
101,Bernardo Silva,Winger,30,Man City,2021-2022,0.49,0.45,0.21,0.18,2.73,1.67,82.8,3.38,0.44,1.06,7.69
102,Archie Gray,Midfielder,20,Tottenham,2023-2024,0.21,0.18,0.31,0.15,2.48,1.95,90.0,1.49,2.46,0.53,8.42
103,Gabriel Magalhães,Defender,27,Arsenal,2021-2022,0.06,0.03,0.04,0.0,0.58,0.17,87.8,0.63,2.74,4.13,3.45
104,Jack Grealish,Midfielder,29,Man City,2021-2022,0.18,0.03,0.26,0.22,1.69,2.48,82.1,2.32,2.67,1.19,5.82
105,Jarrod Bowen,Winger,28,West Ham,2021-2022,0.19,0.09,0.3,0.18,1.4,,75.1,4.72,1.64,0.6,7.22
106,Che Adams,Forward,28,Southampton,2022-2023,0.82,0.3,0.28,0.17,2.16,0.88,77.8,3.29,1.15,0.54,4.99
107,Callum Hudson-Odoi,Midfielder,26,Nottingham Forest,2023-2024,0.28,0.2,0.2,0.15,1.66,2.71,91.5,0.95,1.18,0.64,4.51
108,Gonçalo Guedes,Forward,33,Wolves,2025-2026,0.93,0.57,0.18,0.16,2.81,1.08,82.8,1.7,1.76,0.59,3.76
109,Oleksandr Zinchenko,Defender,28,Arsenal,2022-2023,0.12,0.12,0.0,0.05,0.08,0.98,73.6,0.37,5.61,2.24,3.59
110,Harvey Barnes,Winger,29,Newcastle,2023-2024,0.37,0.26,0.38,0.3,1.96,1.94,85.8,2.89,1.74,0.59,4.15
111,Jordan Henderson,Midfielder,35,Liverpool,2023-2024,0.09,0.2,0.24,0.16,1.38,2.07,85.3,2.68,3.52,1.05,5.73
112,Morgan Gibbs-White,Midfielder,26,Nottingham Forest,2024-2025,0.22,0.21,0.17,0.25,2.04,1.87,87.2,1.43,3.4,1.12,11.18
113,Lewis Dunk,Defender,33,Brighton,2021-2022,0.1,0.1,0.16,0.04,0.54,0.11,80.0,0.94,5.82,3.02,3.67
114,Gonçalo Guedes,Forward,28,Wolves,2021-2022,0.7,0.35,0.2,0.16,2.61,2.27,81.2,0.38,0.97,0.44,4.52
115,Pascal Groß,Midfielder,37,Brighton,2025-2026,0.35,0.13,0.09,0.27,1.38,3.45,92.6,2.18,3.03,1.17,8.93
116,Ismaïla Sarr,Winger,26,Crystal Palace,2021-2022,0.18,0.29,0.37,0.09,2.78,1.6,82.6,2.51,0.3,0.11,5.07
117,Patson Daka,Forward,29,Leicester,2024-2025,1.02,0.42,0.41,0.09,2.64,1.39,71.3,1.57,0.96,0.59,4.42
118,Kaoru Mitoma,Winger,31,Brighton,2025-2026,0.55,0.35,0.37,0.12,3.23,1.56,76.6,1.98,1.38,0.68,5.5
119,Bruno Fernandes,Midfielder,31,Man United,2022-2023,0.16,0.2,0.18,0.27,1.92,1.97,86.2,1.35,2.14,1.09,8.51
120,Luke Shaw,Defender,30,Man United,2022-2023,0.1,0.0,0.16,0.07,0.79,0.62,88.1,0.45,5.59,2.19,4.64
121,Hwang Hee-chan,Forward,29,Wolves,2022-2023,0.86,0.84,0.22,0.22,3.43,1.53,76.0,1.92,1.09,0.0,3.52
122,Kevin De Bruyne,Midfielder,34,Man City,2023-2024,0.07,0.07,0.17,0.13,1.83,0.5,81.8,2.0,3.25,1.32,6.94
123,Rodrigo Bentancur,Midfielder,27,Tottenham,2021-2022,0.18,0.12,0.29,0.23,0.76,3.1,84.0,0.67,2.46,1.95,9.03
124,Tomáš Souček,Midfielder,33,West Ham,2025-2026,0.18,0.25,0.38,0.35,,2.57,89.1,0.29,2.68,1.19,6.09
125,Justin Kluivert,Midfielder,27,Bournemouth,2022-2023,0.02,0.07,0.24,0.21,1.61,1.97,85.5,4.0,2.56,0.72,9.24
126,Hélder Costa,Winger,32,Leeds United,2022-2023,0.28,0.36,0.14,0.34,0.87,1.81,79.0,4.09,1.91,0.49,3.03
127,Jorginho,Midfielder,36,Arsenal,2024-2025,0.39,0.17,0.21,0.0,1.67,1.82,90.1,2.52,2.88,1.43,6.57
128,Sander Berge,Midfielder,26,Burnley,2021-2022,0.03,0.14,0.33,0.04,1.59,3.26,81.2,2.6,3.14,0.85,7.4
129,Pape Matar Sarr,Midfielder,23,Tottenham,2022-2023,0.22,0.18,0.13,0.14,0.6,3.04,90.5,1.64,4.05,0.22,8.17
130,Josh Cullen,Midfielder,32,Burnley,2025-2026,0.45,0.2,0.18,0.41,1.29,3.35,89.5,2.17,2.65,1.25,9.27
131,Joško Gvardiol,Defender,26,Man City,2025-2026,0.18,0.04,,,,0.74,87.0,0.39,,3.47,4.93
132,Folarin Balogun,Forward,24,Arsenal,2022-2023,0.54,0.4,0.25,0.1,5.01,0.88,72.1,1.26,0.11,0.58,4.4
133,Kevin De Bruyne,Midfielder,33,Man City,2021-2022,0.17,0.11,0.28,0.11,2.12,2.34,90.5,1.81,3.17,1.48,8.31
134,Manuel Akanji,Defender,33,Man City,2025-2026,0.19,0.14,0.07,0.14,0.41,0.81,92.7,0.68,4.86,4.43,5.82
135,Rodri,Midfielder,29,Man City,2022-2023,0.36,0.1,0.25,0.32,0.87,3.45,87.1,1.61,3.53,1.23,4.97
136,Angelo Ogbonna,Defender,38,West Ham,2024-2025,0.28,0.1,0.17,0.08,0.48,0.48,77.7,1.01,3.76,4.44,3.13
137,Ben Chilwell,Defender,33,Chelsea,2025-2026,0.2,0.1,0.1,0.15,0.39,0.15,90.5,0.64,1.78,2.04,7.83
138,Wilfried Gnonto,Winger,22,Leeds United,2022-2023,0.28,0.34,0.26,0.34,2.9,1.34,,1.31,0.63,0.33,6.28
139,Kalidou Koulibaly,Defender,37,Chelsea,2025-2026,0.26,0.19,0.08,0.07,0.92,0.92,87.5,0.4,4.38,6.96,6.88
140,Dango Ouattara,Winger,24,Bournemouth,2023-2024,0.48,0.28,0.14,0.33,2.66,0.52,83.5,1.73,0.88,0.83,6.03
141,Martin Ødegaard,Midfielder,26,Arsenal,2022-2023,0.1,0.17,0.29,0.18,1.36,3.06,92.0,2.19,4.11,0.9,8.14
142,Bruno Guimarães,Midfielder,30,Newcastle,2024-2025,0.38,0.32,0.31,0.13,1.44,3.13,93.1,1.82,4.09,1.72,10.25
143,Ibrahima Konaté,Defender,28,Liverpool,2024-2025,0.22,0.2,0.08,0.16,0.76,1.24,85.8,0.39,2.4,4.57,5.87
144,Eberechi Eze,Winger,28,Crystal Palace,2022-2023,0.26,0.47,0.28,0.3,2.66,1.46,75.0,3.16,1.66,0.8,6.51
145,Andros Townsend,Winger,33,Everton,2021-2022,,0.57,0.3,0.27,2.91,2.29,81.0,2.49,1.44,1.16,7.02
146,Moussa Diaby,Winger,26,Aston Villa,2023-2024,0.22,0.35,0.34,0.26,,2.57,77.6,2.51,0.56,0.43,4.63
147,Pascal Struijk,Defender,25,Leeds United,2021-2022,0.13,0.0,0.09,0.06,0.8,0.77,80.2,0.49,3.4,5.79,4.53
148,César Azpilicueta,Defender,37,Chelsea,2023-2024,0.13,0.1,0.22,0.09,0.52,0.6,80.1,1.29,4.79,5.11,8.32
149,Joel Piroe,Forward,29,Leeds United,2025-2026,0.68,0.52,0.26,0.0,4.38,1.91,83.7,2.85,0.48,0.75,2.97
150,Alexis Mac Allister,Midfielder,29,Liverpool,2024-2025,0.1,0.08,0.34,0.31,2.44,2.16,93.5,0.91,4.32,1.9,12.59
151,Nicolas Pépé,Winger,33,Arsenal,2025-2026,0.68,0.23,0.33,0.23,2.84,2.32,86.6,3.15,0.55,0.58,4.76
152,Reece James,Defender,25,Chelsea,2021-2022,0.0,0.06,0.2,0.02,0.4,0.88,84.9,0.72,4.69,5.26,6.05
153,Thiago Alcântara,Midfielder,38,Liverpool,2025-2026,0.37,0.32,0.08,0.12,1.91,,88.6,1.11,2.21,0.91,7.73
154,Dominic Solanke,Forward,30,Tottenham,2025-2026,0.75,0.86,0.06,0.16,2.22,1.21,75.2,1.1,0.83,0.0,6.19
155,Luis Díaz,Winger,29,Liverpool,2024-2025,0.38,0.25,0.37,0.2,2.99,2.79,81.4,3.36,2.04,0.75,4.79
156,Jamie Vardy,Forward,38,Leicester,2024-2025,0.32,0.54,0.27,0.1,1.88,0.79,75.8,2.57,0.74,0.36,2.63
157,Roberto Firmino,Forward,38,Liverpool,2025-2026,0.72,0.51,0.28,0.24,4.16,0.59,80.0,2.01,0.97,1.12,6.59
158,Cole Palmer,Winger,26,Chelsea,2025-2026,0.78,0.3,0.36,0.35,2.31,1.94,75.6,3.84,1.35,0.53,5.95
159,Diogo Dalot,Defender,29,Man United,2024-2025,0.1,0.14,0.06,0.12,0.53,0.37,84.8,0.55,4.61,3.21,3.61
160,Gabriel Magalhães,Defender,30,Arsenal,2025-2026,0.26,0.15,0.04,0.06,0.7,0.51,86.1,0.07,5.19,1.53,4.29
161,Noussair Mazraoui,Defender,27,Man United,2022-2023,0.12,0.02,0.16,0.12,0.71,0.91,84.1,,3.32,5.82,5.71
162,Rayan Aït-Nouri,Defender,26,Wolves,2024-2025,0.06,,0.07,0.06,,0.37,87.6,0.0,5.68,3.43,6.53
163,Hwang Hee-chan,Forward,29,Wolves,2023-2024,0.52,0.05,0.07,0.15,3.89,0.99,80.4,0.2,1.29,0.63,3.3
164,João Gomes,Midfielder,25,Wolves,2023-2024,0.26,0.15,0.21,0.23,1.43,1.53,85.1,1.9,1.95,1.39,5.95
165,Raúl Jiménez,Forward,36,Fulham,2023-2024,0.63,0.82,0.39,0.05,3.11,1.34,86.3,1.9,0.1,0.97,4.64
166,Ivan Toney,Forward,28,Brentford,2021-2022,0.42,0.49,0.14,0.17,3.8,1.99,71.8,3.29,0.12,0.64,4.21
167,Curtis Jones,Midfielder,23,Liverpool,2021-2022,0.07,0.13,0.09,0.17,1.56,1.28,87.8,1.59,3.24,1.31,9.96
168,Harry Kane,Forward,33,Tottenham,2023-2024,0.57,0.68,0.16,0.1,3.87,0.7,83.6,1.83,0.56,0.59,5.05
169,Sandro Tonali,Midfielder,27,Newcastle,2023-2024,0.3,0.15,0.39,0.27,1.68,2.31,90.1,1.12,3.29,0.44,6.74
170,Illia Zabarnyi,Defender,24,Bournemouth,2023-2024,0.06,0.13,0.13,0.12,0.92,0.23,80.0,0.2,6.23,4.91,4.95
171,Ryan Christie,Midfielder,30,Bournemouth,2022-2023,0.12,0.07,0.37,0.12,1.73,2.46,85.8,1.47,0.8,1.44,9.08
172,Romain Mundle,Winger,26,Sunderland,2025-2026,0.49,0.43,0.36,0.36,0.6,2.11,77.7,3.19,0.26,0.16,5.74
173,Luca Koleosho,Winger,20,Burnley,2021-2022,0.19,0.38,0.44,0.3,3.71,1.54,74.4,1.6,1.95,0.8,4.92
174,Bruno Fernandes,Midfielder,32,Man United,2023-2024,0.18,0.17,0.19,0.11,1.63,3.08,81.8,1.41,2.85,0.91,7.98
175,Enzo Fernández,Midfielder,24,Chelsea,2022-2023,0.08,0.23,0.15,0.21,1.4,2.17,91.3,1.35,3.63,0.58,5.94
176,Liam Delap,Forward,24,Chelsea,2025-2026,0.54,0.82,0.02,0.23,,1.18,81.2,1.72,,0.58,5.01
177,Jhon Durán,Forward,20,Aston Villa,2021-2022,0.28,0.69,0.26,0.21,3.77,1.19,73.5,1.85,0.63,1.09,3.32
178,Yves Bissouma,Midfielder,32,Tottenham,2025-2026,,0.08,0.33,0.33,1.28,1.66,86.4,1.29,4.03,0.8,7.43
179,Elliot Anderson,Midfielder,25,Nottingham Forest,2024-2025,0.34,0.16,0.17,0.2,1.49,2.97,86.0,1.75,3.75,1.0,8.02
180,Mateo Kovačić,Midfielder,33,Man City,2024-2025,0.22,0.2,0.09,0.04,1.22,2.12,83.8,2.03,3.01,1.46,8.33
181,Joelinton,Midfielder,32,Newcastle,2025-2026,0.28,0.22,0.37,0.17,2.48,3.53,89.2,1.69,1.43,0.6,10.14
182,Folarin Balogun,Forward,26,Arsenal,2024-2025,0.76,0.47,0.14,0.14,4.67,2.29,80.6,1.6,0.89,0.78,4.84
183,Jérémy Doku,Winger,23,Man City,2022-2023,0.18,0.27,0.36,0.1,2.2,2.17,76.6,4.52,1.53,0.42,3.24
184,Ilkay Gündogan,Midfielder,38,Man City,2025-2026,0.45,0.19,0.32,0.22,2.12,2.78,89.2,1.75,3.58,1.21,8.47
185,Trent Alexander-Arnold,Defender,30,Liverpool,2025-2026,0.28,0.11,0.11,0.08,0.43,0.36,96.0,0.23,5.02,5.19,2.94
186,Marcus Rashford,Forward,27,Man United,2021-2022,0.16,0.54,0.14,0.11,3.75,1.72,82.7,1.21,0.78,0.83,4.67
187,Youri Tielemans,Midfielder,30,Aston Villa,2024-2025,0.36,0.13,0.21,0.13,1.52,2.72,83.5,1.2,2.03,1.44,5.67
188,Anthony Elanga,Forward,26,Nottingham Forest,2024-2025,0.66,0.72,0.05,0.07,1.93,1.58,77.5,1.52,0.85,0.8,2.81
189,Sander Berge,Midfielder,28,Burnley,2023-2024,0.06,0.22,0.31,0.22,,1.83,85.4,2.51,3.54,0.79,8.66
